_id,DatGeracaoConjuntoDados,NomEmpreendimento,IdeNucleoCEG,CodCEG,SigUFPrincipal,SigTipoGeracao,DscFaseUsina,DscOrigemCombustivel,DscFonteCombustivel,DscTipoOutorga,NomFonteCombustivel,DatEntradaOperacao,MdaPotenciaOutorgadaKw,MdaPotenciaFiscalizadaKw,MdaGarantiaFisicaKw,IdcGeracaoQualificada,NumCoordNEmpreendimento,NumCoordEEmpreendimento,DatInicioVigencia,DatFimVigencia,DscPropriRegimePariticipacao,DscSubBacia,DscMuninicpios
70,2026-08-07,Britos,000319,CGH.PH.MG.000319-0.1,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1953-01-01,"625,60",625,",00",Não,"-19,99395878","-44,69174997",,,100% para COMPANHIA TECIDOS SANTANENSE EM RECUPERACAO JUDICIAL - 21.255.567/0001-89 (REG),"40 - Alto Sao Francisco, ate Tres Marias","Igaratinga - MG, Itaúna - MG"
71,2026-08-07,Bugres,000324,UHE.PH.RS.000324-7.1,RS,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1952-07-01,"17620,00",11120,"9900,00",Não,"-29,31480833","-50,67983611",2022-11-18,2052-11-18,"60.9700% para CSN CIMENTOS BRASIL S.A. - 60.869.336/0001-17 (PIE), 39.0300% para COMPANHIA SIDERURGICA NACIONAL - 33.042.730/0001-04 (PIE)","87 - Camaqua, Jacui, lagoa dos Patos e outros",Canela - RS
72,2026-08-07,Buricá,000329,CGH.PH.RS.000329-8.2,RS,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1999-05-08,"3240,00",3240,",00",Não,"-27,89166667","-54,10305556",,,100% para COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA - 10.415.935/0001-92 (REG),"74 - Uruguai, Varzea, Turvo e outros","Independência - RS, Inhacorá - RS"
73,2026-08-07,Buriti,000331,PCH.PH.MT.000331-0.1,MT,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2018-08-04,"10000,00",10000,"8590,00",Não,"-13,40539444","-58,59875556",2018-08-04,2049-07-17,100% para ELECTRA PCH BURITI SPE S/A - 04.547.015/0001-25 (PIE),17 - Tapajos,Sapezal - MT
74,2026-08-07,Buritis,000336,CGH.PH.SP.000336-0.1,SP,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1922-01-15,"800,00",800,",00",Não,"-20,21472222","-47,70555556",,,100% para CHIMAY EMPREENDIMENTOS E PARTICIPACOES LTDA. - 13.326.039/0001-45 (REG),61 - Grande,Buritizal - SP
75,2026-08-07,Caapiranga / Am / Am,000340,UTE.GN.AM.000340-9.2,AM,UTE,Operação,Fóssil,Gás natural,Registro,Gás Natural,2013-11-28,"2165,00",2165,",00",Não,"-3,29527778","-61,21583333",,,100% para J&amp-F S.A. - 00.350.763/0001-62 (REG),,Caapiranga - AM
76,2026-08-07,Caboclo,000345,CGH.PH.MG.000345-0.2,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1944-12-23,"4420,00",4420,"3580,00",Não,"-20,49500741","-43,48276533",,,100% para MAYNART ENERGETICA LTDA. - 20.227.915/0001-41 (REG),56 - Doce,Belo Horizonte - MG
77,2026-08-07,Cachoeira,000396,PCH.PH.RO.000396-4.1,RO,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1997-04-05,"11120,00",11120,",00",Não,"-12,49216462","-60,47203533",2023-06-15,2053-06-15,100% para JFG Energia S.A - 05.662.199/0001-37 (PIE),15 - Madeira,Vilhena - RO
78,2026-08-07,Cachoeira Alta,000404,CGH.PH.MG.000404-9.1,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1918-01-01,"302,40",302,"70,00",Não,"-20,27680207","-41,96356798",,,100% para ZONA DA MATA GERACAO S/A - 04.677.733/0001-16 (REG),56 - Doce,Reduto - MG
79,2026-08-07,Cachoeira da Onça,000428,CGH.PH.ES.000428-6.1,ES,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1972-06-30,"900,00",900,",00",Não,"-19,04583333","-40,53805556",,,100% para SANTA MARIA GERAÇÃO E TRANSMISSÃO DE ENERGIA S/A - 24.594.263/0001-34 (REG),56 - Doce,São Gabriel da Palha - ES
80,2026-08-07,João Camilo Penna (Antiga Cachoeira do Emboque),000473,UHE.PH.MG.000473-1.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1998-01-01,"21600,00",21600,"10440,00",Não,"-20,11755554","-42,39676710",1996-07-04,2033-07-25,100% para ZONA DA MATA GERACAO S/A - 04.677.733/0001-16 (SP),56 - Doce,Raul Soares - MG
